0,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
100,120,,,,,,,,,,,,,130,130
100,100,,,,,,,,,,,,,100,100
100,100,180,120,130,,,,,,,110,120,130,100,100
100,100,110,100,190,,,,,,,100,160,140,100,100
100,100,100,100,120,,,,,,,170,100,180,100,190
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
110,120,130,100,100,150,160,130,100,190,120,1418,1428,1438,1458,1428
170,100,120,100,130,100,100,110,100,100,190,1478,1488,1408,1408,1498
,,,,400,,400,,400,,400,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,300,,300,,300,,300,,,,,,
,,,110,120,130,110,100,100,130,100,180,130,100,190,170
,,,100,160,110,100,100,100,100,120,130,100,100,120,110
,,,180,190,,,401,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,301,,,110,120,,,,,
100,120,120,130,100,100,120,100,110,100,100,,,,,
100,100,190,140,100,100,100,160,110,100,160,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,200,,,200,,,200,,,200,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
110,100,130,100,120,1418,1408,1438,1418,1408,1428,130,110,140,100,120
100,100,100,190,140,1478,1408,1488,1408,1488,1498,170,100,100,100,190
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1418,1408,1428,180,170,100,100,100,120,100,100,100,150,1418,1428,1438
1478,1408,1498,120,190,100,100,150,100,100,100,100,190,1478,1488,1498
,,,,,,,,,,110,100,,,,
,,,,,,,,,,160,190,,,,
,,,,110,100,,1701,,,,,,,,
,,,,160,190,,,,,,,,,,
1418,1428,1438,110,100,100,100,130,100,120,130,100,130,1448,1418,1418
1478,1488,1498,160,190,100,100,140,100,100,100,100,180,1478,1488,1408
,,,,,,,1478,1468,,,,,,,
,,,,,,,1408,1408,,,,,,,
,,,200,,,200,1408,1428,200,,,200,,,
,,,,,,,1448,1408,,,,,,,
,,,,,,,1478,1498,,,,,,,
,,,110,100,120,,1438,1428,,130,100,120,,,
,,,170,100,100,,1408,1408,,100,100,150,,,
,,,,,,,1448,1478,,,,,,,
,,,201,,,,1418,1428,,,,201,,,
,,,,,,,1408,1408,,,,,,,
,,,,,,,1408,1408,,,,,,,
100,130,100,,,,,1488,1408,,,,,100,180,120
180,100,190,,,,,1438,1498,,,,,140,100,100
,,,,,,,1408,1438,,,,,,,
,,,,,,,1408,1468,,,,,,1702,
,,,,,,,1478,1498,,,,,,,
,,,,130,100,100,120,120,120,100,180,120,130,100,130
,,,,170,100,100,180,180,150,100,190,170,180,100,190
,,,,,,,1408,1408,,,,1408,1408,,
,,,,,,,1408,1408,,,,1408,1408,,
,,,,,,,1488,1408,,,,1488,1408,,
,1700,,,,201,,1438,1498,,201,,1438,1498,,
,,,,,,,1408,1438,,,,1408,1438,,
,,,,,,,1408,1468,,,,1408,1408,,
,,,,,,,1478,1498,,,,1408,1408,,
180,100,120,130,100,130,100,140,100,100,170,100,1488,1408,,
120,100,180,100,190,170,100,100,160,170,130,190,1438,1498,,
,,1418,1408,,,,1408,1408,,,,1408,1438,,
,,1408,1408,,,,1418,1468,,,,1408,1468,,
,,1488,1408,,201,,1418,1468,,201,,1408,1408,,
,,1408,1468,,,,1408,1408,,,,1408,1408,,
,,1488,1408,,,,1488,1408,130,120,110,100,110,100,110
,,1408,1408,,,,1438,1498,170,100,180,100,180,100,190
,,1488,1408,,,,1408,1438,,,,,,,
,,1438,1498,,,,1408,1468,,,,202,,,
,,1478,1438,,,,1478,1498,,,,,,,
130,100,120,130,130,100,120,100,120,,,,,,130,100
150,100,100,100,100,150,100,100,190,,,,,,140,100
150,100,100,100,100,100,100,100,130,,,,,,100,100
140,100,100,100,1418,1408,1468,1448,1408,1428,1438,1418,1418,1428,100,150
100,150,100,190,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,100,100
100,100,100,110,1478,1498,1478,1488,1408,1408,1488,1408,1408,1498,170,100
100,100,100,100,,,,,,,170,100,100,150,100,100
100,150,100,130,,,,,,,130,100,100,100,100,190
170,100,170,190,,,,,,,100,180,150,180,100,120
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0
